HQURT_NAME,CMDLT_NAME,HSCD,HSCD_CN,REG_DT,REGL_CN,ISO_WD2_NAT_CD,REGL_STR_DE,REGL_END_DE,PROBE_TGT_NAT_NAME
동남아대양주지역본부,"용접용 재료
(Welding material products)",721790,"72171010,72173019,72179010,72292000,72299020,72299099,83111010,83111090,83113091,83113099,83119000",2023-05-19,반덤핑(규제중),VN,20220820,20270819,"중국, 태국, 말레이시아"
동남아대양주지역본부,"용접용 재료
(Welding material products)",722920,"72171010,72173019,72179010,72292000,72299020,72299099,83111010,83111090,83113091,83113099,83119000",2023-05-19,반덤핑(규제중),VN,20220820,20270819,"중국, 태국, 말레이시아"
동남아대양주지역본부,"용접용 재료
(Welding material products)",721730,"72171010,72173019,72179010,72292000,72299020,72299099,83111010,83111090,83113091,83113099,83119000",2023-05-19,반덤핑(규제중),VN,20220820,20270819,"중국, 태국, 말레이시아"
북미지역본부,특정 길이의 탄소강판(Certain Cut-To-Length Carbon Quality Steel Plate),720853,"7208403030,7208403060,7208510030,7208510045,7208510060,7208520000,7208530000,7208900000,7210703000,7210909000,7211130000,7211140030,7211140045,7211900000,7212401000,7212405000,7212500000,7225403050,7225407000,7225506000,7225990090,7226915000,7226917000,7226918000,7226990000 ",2023-05-19,반덤핑(규제중),US,20210701,20260630,중국
북미지역본부,특정 길이의 탄소강판(Certain Cut-To-Length Carbon Quality Steel Plate),720852,"7208403030,7208403060,7208510030,7208510045,7208510060,7208520000,7208530000,7208900000,7210703000,7210909000,7211130000,7211140030,7211140045,7211900000,7212401000,7212405000,7212500000,7225403050,7225407000,7225506000,7225990090,7226915000,7226917000,7226918000,7226990000 ",2023-05-19,반덤핑(규제중),US,20210701,20260630,중국
북미지역본부,특정 길이의 탄소강판(Certain Cut-To-Length Carbon Quality Steel Plate),720851,"7208403030,7208403060,7208510030,7208510045,7208510060,7208520000,7208530000,7208900000,7210703000,7210909000,7211130000,7211140030,7211140045,7211900000,7212401000,7212405000,7212500000,7225403050,7225407000,7225506000,7225990090,7226915000,7226917000,7226918000,7226990000 ",2023-05-19,반덤핑(규제중),US,20210701,20260630,중국
북미지역본부,특정 길이의 탄소강판(Certain Cut-To-Length Carbon Quality Steel Plate),720840,"7208403030,7208403060,7208510030,7208510045,7208510060,7208520000,7208530000,7208900000,7210703000,7210909000,7211130000,7211140030,7211140045,7211900000,7212401000,7212405000,7212500000,7225403050,7225407000,7225506000,7225990090,7226915000,7226917000,7226918000,7226990000 ",2023-05-19,반덤핑(규제중),US,20210701,20260630,중국
북미지역본부,특정 강철 못(Certain steel nails),731700,"731700,820600",2023-05-19,상계관세(규제중),US,20201006,20251005,베트남
북미지역본부,탄소합금강 선재(Carbon and alloy steel wire rod),722720,"721391,721399,722720,722790",2023-05-19,반덤핑(규제중),US,20180124,20230123,"벨라루스, 러시아, UAE"
북미지역본부,특정 강철 못(Certain steel nails),820600,"731700,820600",2023-05-19,상계관세(규제중),US,20201006,20251005,베트남
아프리카지역본부,파스타(Pasta),190219,"190219,190211",2023-05-19,반덤핑(규제중),ZA,20210401,20260331,"이집트, 라트비아, 리투아니아, 터키"
아프리카지역본부,"폴리에틸렌 테레프탈레이트(PET; Polyethylene
terephthalate)",390761,"39076190,39076990",2023-05-19,반덤핑(규제중),ZA,20060530,20270908,"한국, 인도, 대만"
아프리카지역본부,"폴리에틸렌 테레프탈레이트(PET; Polyethylene
terephthalate)",390769,"39076190,39076990",2023-05-19,반덤핑(규제중),ZA,20060530,20270908,"한국, 인도, 대만"
북미지역본부,아질산나트륨(Sodium Nitrite),283410,283410,2023-05-19,상계관세(규제중),US,20230103,20280102,인도
북미지역본부,보존 버섯 (Certain Preserved Mushrooms),200310,"2003100127,2003100131,2003100137",2023-05-19,반덤핑(규제중),US,20221122,20271121,프랑스
